segment	best	score
Fruit, vegetables and cereals fresh or processed – Citrus	Edible vegetables and certain roots and tubers	60
The matrices are arranged according to the following six principles:	The resistance 'R' is calculated according to the following formula:	66
The exceptional circumstances shall relate to the staff member concerned.	Those resources shall be used for the benefit of the Member State concerned.	60
The macroeconomic data related to all Union producers.	This sample consisted of three Union producers.	63
Step	Stamp	67
In order to assess whether an institution is compliant with the requirements on the use of rating systems for the purposes of Article 144 (1) (b), Article 145, Article 171 (1) (c), Article 172 (1) (a), Article 172 (1) (c), Article 172 (2) and 175 (3) of Regulation (EU) No 575/2013, competent authorities shall verify that:	When assessing the institution ’ s compliance with the conditions for permanent partial use of the Standardised Approach in relation to the exposures referred to in points (a) and (b) of Article 150 (1) of Regulation (EU) No 575/2013, competent authorities shall verify that:	63
Member States may request a revision of one or more performance targets contained in the performance plans, in accordance with Article 18 (1), point (a) (i) of Implementing Regulation (EU) 2019/317, where:	Member States shall notify the Commission of the following information concerning the bodies appointed to supervise the ageing processes for spirit drinks in accordance with Article 13 (6) of Regulation (EU) 2019/787:	60
The additive shall not be mixed with other coccidiostats.	The criteria used shall be included in the notification.	60
Having determined, after consulting the Committee established by Article 15 (1) of Regulation (EU) 2016/1036 of the Europan Parliament and of the Council in application of Article 25 (1) of the basic Regulation, that sufficient evidence existed for the initiation of an expiry review, the Commission announced the initation of an expiry review pursuant to Article 18 of the basic Regulation by notice published in the Official Journal of the European Union on 27 February 2020 (‘ the Notice of Initiation ’).	Having determined, after consulting the Committee established by Article 15 (1) of the basic Regulation, that sufficient evidence existed for the initiation of an expiry review, on 30 October 2020 the Commission initiated an expiry review with regard to imports of Ace-K originating in the PRC on the basis of Article 11 (2) of the basic Regulation.	64
For the purposes of this Annex and further to the definitions in Article 1 of Annex IIb:	For the purposes of this Annex, the definitions set out in Article SSC.1 of this Protocol apply.	70
Achieved coverage from the number of vessels subject to complementary data collection.	For each data source, indicate (%) the planned percentage of coverage, based on the numbers of vessels subject to complementary data collection.	70
Alternative funds	Alternative test methods	68
Performance obligations [member]	Business combinations [member]	68
As a result, it cannot be directly compared with the production and sales developments of the product under investigation.	Third, Zhongji has a high number of related companies directly involved in production or sales of the product under investigation.	65
Commission Delegated Regulation (EU) No 1151/2014 specifies the information to be notified by credit institutions when exercising the right of establishment and the freedom to provide services.	Commission Delegated Regulation (EU) No 1151/2014 of 4 June 2014 supplementing Directive 2013/36/EU of the European Parliament and of the Council with regard to regulatory technical standards on the information to be notified when exercising the right of establishment and the freedom to provide services (OJ L 309, 30.10.2014, p. 1).	65
This appropriation is intended to cover the annual lease payments for buildings or parts of buildings under existing leases or leases in preparation.	This appropriation is intended to cover annual lease payments and other similar expenditure incurred by the institution in respect of its lease/purchase obligations.	66
